"common_name","scientific_name","city","state","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",82.5,27.6,"introduced","more than 18.29 m","more than 76.2 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",54.2,31.6,"introduced","more than 18.29 m","45.72 to 60.96 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ash","Fraxinus","Phoenix","Arizona",24.680559,8.02,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Round leaf eucalyptus","Eucalyptus","Phoenix","Arizona",16.7,5.11,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sonoran palo verde","Cercidium floridum","Phoenix","Arizona",26.316915,9.1,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia hybrid","Acacia","Phoenix","Arizona",9.721111,3.9,"no_info","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian laurel fig","Ficus microcarpa","Phoenix","Arizona",5.4,3.55,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian laurel fig","Ficus microcarpa","Phoenix","Arizona",19.193749,3.92,"introduced","0 to 4.57 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacaranda","Jacaranda mimosifolia","Phoenix","Arizona",23.8,7.8,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacaranda","Jacaranda mimosifolia","Phoenix","Arizona",23.1,6.44,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purple bauhinia","Bauhinia purpurea","Phoenix","Arizona",16.43259,6,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexican blue palm","Brahea armata","Phoenix","Arizona",34,3.8,"introduced","0 to 4.57 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",19.5,3.5,"introduced","0 to 4.57 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",22.5,4.9,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",21,4.6,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
