"common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","percent_population"
"Dogwood","Cornus florida","Nashville","Tennessee",-86.7754127,36.1581011,"313 4th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7802119,36.1632249,"5th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ginkgo","Ginkgo biloba","Nashville","Tennessee",-86.7802119,36.1632249,"5th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweetgum","Liquidambar styraciflua","Nashville","Tennessee",-86.7802119,36.1632249,"5th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"English oak","Quercus robur","Nashville","Tennessee",-86.7802119,36.1632249,"5th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.7766286,36.1575253,"301 5th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.7766286,36.1575253,"301 5th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London planetree","Platanus acerifolia","Nashville","Tennessee",-86.7766286,36.1575253,"301 5th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweetgum","Liquidambar styraciflua","Nashville","Tennessee",-86.7827601,36.1646969,"6th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American holly","Ilex opaca","Nashville","Tennessee",-86.7765113,36.161317,"Broadway","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
