"city_ID","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","district","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","overhead_utility","condition","percent_population"
16919,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9889933,33.76660893,"13471 Balos Dr",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16923,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.961402,33.76698157,"13471 Donegal Dr",9,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16924,"Norfolk island pine","Araucaria heterophylla","Garden Grove","California",-117.9614005,33.76700141,"13471 Donegal Dr",9,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16927,"Arizona ash","Fraxinus velutina","Garden Grove","California",-117.9633249,33.76689826,"13471 Galway St",12,60.96,98.4252,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16931,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9353299,33.76708421,"13471 Havenwood Dr",9,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16932,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9352727,33.76708607,"13471 Havenwood Dr",9,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16933,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9352431,33.76708748,"13471 Havenwood Dr",9,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16934,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9353578,33.76708247,"13471 Havenwood Dr",9,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16936,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.987864,33.76662192,"13471 Jackson St",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16937,"Weeping fig","Ficus benjamina","Garden Grove","California",-117.9455037,33.76708777,"13471 Jessica Dr",9,30.48,49.2126,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16941,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9163696,33.76719915,"13471 Leda Ln",2,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16942,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9161712,33.76734172,"13471 Leda Ln",2,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16943,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9162138,33.76785111,"13471 Leda Ln",2,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16944,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.916187,33.76745091,"13471 Leda Ln",2,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16947,"Red ironbark","Eucalyptus","Garden Grove","California",-117.8948243,33.77214731,"13471 Mcevoy Ln",2,45.72,147.6378,"no_info","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16948,"Maidenhair tree","Ginkgo biloba","Garden Grove","California",-117.8946543,33.77201309,"13471 Mcevoy Ln",2,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16951,"Southern magnolia","Magnolia grandiflora","Garden Grove","California",-117.9688224,33.76676042,"13471 Mickey St",12,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16952,"Southern magnolia","Magnolia grandiflora","Garden Grove","California",-117.9688857,33.76675243,"13471 Mickey St",12,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16955,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9862223,33.76663494,"13471 Sunnyvale Ave",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16956,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9842692,33.76668159,"13471 Wilson St",12,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
